epoch,step,train_loss_step
0,49,9.966731071472168
0,99,8.893872261047363
0,149,8.327707290649414
0,199,8.214524269104004
0,249,8.408513069152832
0,299,7.747971057891846
0,349,7.753551483154297
0,399,7.5226287841796875
0,449,8.130792617797852
0,499,7.380218505859375
0,549,7.969515800476074
0,599,8.002449035644531
0,649,7.180301666259766
0,699,7.224672317504883
0,749,7.819500923156738
0,799,7.779382228851318
0,849,7.674339294433594
0,899,8.437612533569336
0,949,7.7873334884643555
0,999,7.449450492858887
0,1049,8.053051948547363
0,1099,7.891657829284668
0,1149,8.18211555480957
0,1199,8.0463228225708
0,1249,8.020353317260742
0,1299,7.217904090881348
0,1349,7.7943267822265625
0,1399,7.963463306427002
0,1449,7.998938083648682
0,1499,7.329018592834473
0,1549,8.344922065734863
0,1599,7.160083293914795
0,1649,7.778276443481445
0,1699,7.8050537109375
0,1749,8.012020111083984
0,1799,7.638123512268066
0,1849,8.039477348327637
0,1899,8.073128700256348
0,1949,7.598766803741455
0,1999,7.269355297088623
0,2049,7.480999946594238
0,2099,8.368132591247559
0,2149,7.996164321899414
0,2199,6.785573959350586
0,2249,7.5616302490234375
0,2299,7.611371040344238
0,2349,7.872876167297363
0,2399,7.293766975402832
0,2449,7.87030029296875
0,2499,7.962957382202148
0,2549,7.551259994506836
0,2599,7.368830680847168
0,2649,7.989978313446045
0,2699,7.457690238952637
0,2749,7.629753589630127
0,2799,7.504159927368164
0,2849,7.660277366638184
0,2899,7.529914855957031
0,2949,7.643267631530762
0,2999,7.654118537902832
0,3049,7.396881103515625
0,3099,8.105488777160645
0,3149,7.542844295501709
0,3199,7.464716911315918
0,3249,7.3463921546936035
0,3299,7.8497161865234375
0,3349,7.642143249511719
0,3399,7.549575328826904
0,3449,7.441147804260254
0,3499,7.952027320861816
0,3549,7.781425476074219
0,3599,8.196834564208984
0,3649,7.777914047241211
0,3699,7.96567440032959
0,3749,7.694770336151123
0,3799,7.6130499839782715
0,3849,7.35478401184082
0,3899,7.9150800704956055
0,3949,7.521655082702637
0,3999,8.103022575378418
0,4049,7.665217399597168
0,4099,7.825887680053711
0,4149,7.520069122314453
0,4199,7.5786309242248535
0,4249,8.229544639587402
0,4299,8.187214851379395
0,4349,7.750504493713379
0,4399,8.216358184814453
0,4449,7.912103652954102
0,4499,8.007030487060547
0,4549,7.888571739196777
0,4599,7.537199974060059
0,4649,8.328193664550781
0,4699,7.7404279708862305
0,4749,7.817761421203613
0,4799,7.703929901123047
0,4849,7.5322113037109375
0,4899,7.4423418045043945
0,4949,7.865435600280762
0,4999,7.720873832702637
0,5049,7.641711235046387
0,5099,7.761572360992432
0,5149,7.7106733322143555
0,5199,7.554830551147461
0,5249,7.886104583740234
0,5299,7.734966278076172
0,5349,8.367137908935547
0,5399,8.036382675170898
0,5449,7.362358093261719
0,5499,8.209514617919922
0,5549,7.777378082275391
0,5599,7.71013069152832
0,5649,7.95637845993042
0,5699,7.796336650848389
0,5749,7.584201812744141
0,5799,7.090096950531006
0,5849,7.509284973144531
0,5899,7.545583248138428
0,5949,7.811147689819336
0,5999,7.830301284790039
0,6049,7.457373142242432
0,6099,7.542169094085693
0,6149,7.572583198547363
0,6199,7.547967910766602
0,6249,7.141165733337402
0,6299,7.683998107910156
